"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"418" "St. Louis Blues" 8 2020 FALSE FALSE
"419" "Tampa Bay Lightning" 5 2020 FALSE FALSE
"420" "Toronto Maple Leafs" 10 2020 FALSE FALSE
"421" "Vancouver Canucks" 8 2020 FALSE FALSE
"422" "Vegas Golden Knights" 5 2020 FALSE FALSE
"423" "Washington Capitals" 7 2020 FALSE FALSE
"424" "Winnipeg Jets" 6 2020 FALSE FALSE
"425" "Boston Bruins" 1 2020 TRUE TRUE
"426" "Carolina Hurricanes" 2 2020 TRUE TRUE
"427" "Colorado Avalanche" 1 2020 TRUE TRUE
"428" "Florida Panthers" 2 2020 TRUE TRUE
"429" "Minnesota Wild" 1 2020 TRUE TRUE
"430" "Montreal Canadiens" 2 2020 TRUE TRUE
"431" "Nashville Predators" 1 2020 TRUE TRUE
"432" "New York Islanders" 3 2020 TRUE TRUE
"433" "Tampa Bay Lightning" 2 2020 TRUE TRUE
"434" "Toronto Maple Leafs" 1 2020 TRUE TRUE
"435" "Vegas Golden Knights" 2 2020 TRUE TRUE
"436" "Winnipeg Jets" 2 2020 TRUE TRUE
"437" "Boston Bruins" 2 2020 TRUE FALSE
"438" "Carolina Hurricanes" 2 2020 TRUE FALSE
"439" "Minnesota Wild" 1 2020 TRUE FALSE
"440" "Montreal Canadiens" 2 2020 TRUE FALSE
"441" "Nashville Predators" 1 2020 TRUE FALSE
"442" "New York Islanders" 1 2020 TRUE FALSE
"443" "Pittsburgh Penguins" 1 2020 TRUE FALSE
"444" "St. Louis Blues" 2 2020 TRUE FALSE
"445" "Tampa Bay Lightning" 2 2020 TRUE FALSE
"446" "Toronto Maple Leafs" 1 2020 TRUE FALSE
"447" "Vegas Golden Knights" 1 2020 TRUE FALSE
"448" "Washington Capitals" 1 2020 TRUE FALSE
"449" "Anaheim Ducks" 14 2021 FALSE TRUE
"450" "Arizona Coyotes" 12 2021 FALSE TRUE
"451" "Boston Bruins" 5 2021 FALSE TRUE
"452" "Buffalo Sabres" 8 2021 FALSE TRUE
"453" "Calgary Flames" 13 2021 FALSE TRUE
"454" "Carolina Hurricanes" 11 2021 FALSE TRUE
"455" "Chicago Blackhawks" 15 2021 FALSE TRUE
"456" "Colorado Avalanche" 8 2021 FALSE TRUE
"457" "Columbus Blue Jackets" 17 2021 FALSE TRUE
"458" "Dallas Stars" 9 2021 FALSE TRUE
"459" "Detroit Red Wings" 11 2021 FALSE TRUE
"460" "Edmonton Oilers" 9 2021 FALSE TRUE
"461" "Florida Panthers" 11 2021 FALSE TRUE
"462" "Los Angeles Kings" 12 2021 FALSE TRUE
"463" "Minnesota Wild" 16 2021 FALSE TRUE
"464" "Montreal Canadiens" 7 2021 FALSE TRUE
"465" "Nashville Predators" 12 2021 FALSE TRUE
"466" "New Jersey Devils" 18 2021 FALSE TRUE
"467" "New York Islanders" 16 2021 FALSE TRUE
"468" "New York Rangers" 12 2021 FALSE TRUE
"469" "Ottawa Senators" 13 2021 FALSE TRUE
"470" "Philadelphia Flyers" 16 2021 FALSE TRUE
"471" "Pittsburgh Penguins" 9 2021 FALSE TRUE
"472" "San Jose Sharks" 14 2021 FALSE TRUE
"473" "Seattle Kraken" 14 2021 FALSE TRUE
"474" "St. Louis Blues" 10 2021 FALSE TRUE
"475" "Tampa Bay Lightning" 11 2021 FALSE TRUE
"476" "Toronto Maple Leafs" 10 2021 FALSE TRUE
"477" "Vancouver Canucks" 12 2021 FALSE TRUE
"478" "Vegas Golden Knights" 16 2021 FALSE TRUE
"479" "Washington Capitals" 14 2021 FALSE TRUE
"480" "Winnipeg Jets" 11 2021 FALSE TRUE
"481" "Anaheim Ducks" 6 2021 FALSE FALSE
